team,player,minute,x_start,y_start,x_end,y_end
Argentina,Rodrigo Javier De Paul,77,69.1,67.3,48.0,66.9
Argentina,Nahuel Molina Lucero,77,48.0,66.9,57.6,61.1
Argentina,Enzo Fernandez,77,57.6,61.1,66.1,74.0
Argentina,Rodrigo Javier De Paul,77,66.1,74.0,58.4,64.8
Argentina,Enzo Fernandez,77,63.4,66.7,58.4,76.1
Argentina,Rodrigo Javier De Paul,77,61.4,76.1,70.0,76.3
France,Eduardo Camavinga,77,50.8,4.2,54.6,4.4
Argentina,Nahuel Molina Lucero,78,69.1,80.0,69.6,66.9
Argentina,Enzo Fernandez,78,70.8,66.0,70.0,75.2
Argentina,Nahuel Molina Lucero,78,70.0,75.2,74.9,75.5
Argentina,Nahuel Molina Lucero,78,74.9,75.5,80.7,70.3
France,Eduardo Camavinga,78,39.4,9.8,60.2,7.8
France,Kylian Mbappé Lottin,78,60.2,7.6,90.3,18.1
Argentina,Julián Álvarez,79,61.0,40.1,44.3,40.2
Argentina,Rodrigo Javier De Paul,79,44.3,40.2,50.1,66.0
Argentina,Nahuel Molina Lucero,79,43.5,76.3,22.7,56.4
Argentina,Cristian Gabriel Romero,79,20.6,50.9,20.6,30.3
Argentina,Nicolás Hernán Otamendi,79,19.1,28.6,6.0,37.0
Argentina,Damián Emiliano Martínez,80,6.0,37.0,51.4,4.9
Argentina,Marcos Javier Acuña,80,51.2,4.9,62.5,0.8
France,Jules Koundé,80,56.5,80.0,38.8,50.8
France,Dayotchanculle Upamecano,80,55.7,35.2,55.9,11.1
France,Eduardo Camavinga,80,55.9,11.1,66.8,2.3
France,Marcus Thuram,80,68.7,2.7,54.6,5.5
France,Eduardo Camavinga,80,54.6,5.5,44.1,23.7
France,Dayotchanculle Upamecano,80,66.2,64.1,100.0,27.5
Argentina,Cristian Gabriel Romero,80,20.1,52.6,39.0,56.4
France,Eduardo Camavinga,80,81.1,23.7,73.6,32.9
France,Kingsley Coman,80,84.8,71.2,78.8,58.3
France,Adrien Rabiot,80,79.2,54.1,93.1,24.1
France,Kylian Mbappé Lottin,80,93.1,24.1,94.8,36.3
France,Marcus Thuram,80,94.8,36.3,104.8,30.1
Argentina,Lionel Andrés Messi Cuccittini,82,61.0,40.1,46.5,43.4
Argentina,Enzo Fernandez,82,50.3,45.5,47.3,59.2
Argentina,Rodrigo Javier De Paul,82,47.3,59.2,28.7,59.0
Argentina,Cristian Gabriel Romero,82,28.7,59.0,43.9,49.4
Argentina,Enzo Fernandez,82,44.7,48.1,40.7,17.7
Argentina,Nicolás Alejandro Tagliafico,82,40.3,14.5,55.4,5.1
Argentina,Marcos Javier Acuña,82,55.4,5.1,95.2,9.2
Argentina,Nicolás Alejandro Tagliafico,82,89.5,0.1,112.3,8.3
Argentina,Julián Álvarez,83,110.2,7.2,98.2,5.3
Argentina,Nicolás Alejandro Tagliafico,83,98.2,5.3,99.3,11.3
Argentina,Julián Álvarez,83,91.6,14.7,89.2,32.7
Argentina,Rodrigo Javier De Paul,83,88.6,29.5,94.8,23.9
Argentina,Julián Álvarez,83,96.7,22.4,99.1,19.0
Argentina,Julián Álvarez,83,107.0,17.5,114.1,11.7
